Date,Identifier,Portfolio_manager,Tickers,Type_Description,Quantity,Value
05/01/2021,494,,VSIIX,Sell,-114.129,3896.37
05/01/2021,495,,VSIIX,Sell,-114.129,3896.37
05/01/2021,496,,TFVF,Buy,389.637,-3896.37
05/01/2021,497,,FI:TFV8/1,Buy,263.861,-2638.61
05/01/2021,498,,FI:3907/335,Remark,147.821,-2638.61
05/01/2021,499,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,500,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,501,,VSIIX,Remark,114.129,-3896.37
05/01/2021,502,,VSIIX,Sell,-114.129,3896.37
05/01/2021,503,,VSIIX,Sell,-114.129,3896.37
05/01/2021,504,,TFVF,Buy,389.637,-3896.37
05/01/2021,505,,FI:TFV8/1,Buy,263.861,-2638.61
05/01/2021,506,,FI:3907/335,Remark,147.821,-2638.61
05/01/2021,507,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,508,,FI:3907/335,Sell,-147.821,2638.61
05/01/2021,509,,VSIIX,Remark,114.129,-3896.37
05/01/2021,510,,VSIIX,Sell,-114.129,3896.37
05/01/2021,511,,VSIIX,Sell,-114.129,3896.37
05/01/2021,512,,TFVF,Buy,389.637,-3896.37
05/01/2021,514,,UN:008F8486/12812,Management Fee,0,-6000
05/01/2021,515,,UN:008F8486/12812,Management Fee,0,-6000
05/01/2021,516,,UN:008F8486/12812,Remark,0,6000
05/01/2021,517,,VMFXX,Management Fee,0,-6000
05/01/2021,518,,VMFXX,Remark,0,6000
05/01/2021,521,,UN:008F8486/12491,Management Fee,0,-6000
05/01/2021,522,,UN:008F8486/12491,Management Fee,0,-6000
05/01/2021,523,,UN:008F8486/12491,Remark,0,6000
05/01/2021,524,,VMFXX,Management Fee,0,-6000
05/01/2021,525,,VMFXX,Remark,0,6000
05/01/2021,530,,CASH:CASH,Remark,0,205
05/01/2021,531,,CASH:CASH,Remark,0,-5
05/01/2021,532,,ANGL,Dividend Reinvested,0,130.12
05/01/2021,533,,ANGL,Dividend Reinvested,0,34.46
05/01/2021,534,,ANGL,Dividend Reinvested,0,104.53
05/01/2021,535,,ANGL,Dividend Reinvested,0,74.63
05/01/2021,536,,ANGL,Dividend Reinvested,0,130.12
05/01/2021,537,,ANGL,Dividend Reinvested,0,34.46
05/01/2021,538,,SWSSX,Remark,-12.3,0
05/01/2021,539,,SWSSX,Remark,12.3,0
05/01/2021,540,,SWMCX,Remark,-7.762,0
05/01/2021,541,,SWMCX,Remark,7.762,0
05/01/2021,546,,CASH:CASH,Remark,0,205
05/01/2021,547,,CASH:CASH,Remark,0,-5
05/01/2021,551,,PEKBIII,Dividend Reinvested,0,359.63
05/01/2021,552,,PEKBIII,Dividend Reinvested,35.223,-359.63
05/01/2021,553,,30290Y101,Dividend Reinvested,0,339.54
05/01/2021,555,,PHM,Buy,40,-1649.2
05/01/2021,556,,SQ,Buy,10,-2246.5
05/01/2021,557,,FUBO,Buy,15,-422.34
05/01/2021,558,,ALAC,Buy,70,-953.75
05/01/2021,559,,ALAC,Buy,60,-850.2
05/01/2021,560,,IPOC,Buy,50,-760.01
05/01/2021,561,,IPOC,Buy,50,-760.01
05/01/2021,562,,IPOC,Remark,-50,760.01
05/01/2021,564,,IWP,Buy,14,-1422.68
05/01/2021,565,,LULU,Sell,-4,1471.19
05/01/2021,566,,ARKW,Buy,50,-7412
05/01/2021,567,,DOCU,Sell,-10,2296.99
05/01/2021,568,,PTON,Buy,6,-882.8
05/01/2021,571,,BOND,Dividend Reinvested,0,45.31
05/01/2021,572,,JPIB,Dividend Reinvested,0,62.68
05/01/2021,573,,HTRB,Dividend Reinvested,0,26.67
05/01/2021,574,,HTRB,Long Term Gain to Cash,0,23.68
05/01/2021,575,,HTRB,Short Term Gain to Cash,0,18.22
